ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,78,3848
ascending,2,77,4108
ascending,3,81,4200
ascending,4,77,4200
ascending,5,75,4200
ascending,6,77,4200
ascending,7,75,4200
ascending,8,90,4200
ascending,9,86,4200
ascending,10,88,4200
descending,1,79,4380
descending,2,74,4392
descending,3,81,4392
descending,4,75,4392
descending,5,88,4392
descending,6,82,4392
descending,7,91,4392
descending,8,84,4392
descending,9,79,4392
descending,10,86,4392
partial,1,65,4392
partial,2,47,4392
partial,3,33,4392
partial,4,39,4392
partial,5,9,4392
partial,6,44,4392
partial,7,20,4392
partial,8,7,4392
partial,9,27,4392
partial,10,37,4392
random,1,3,4392
random,2,3,4392
random,3,3,4392
random,4,3,4392
random,5,3,4392
random,6,3,4392
random,7,3,4392
random,8,4,4392
random,9,3,4392
random,10,4,4392
