ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,2,7488
ascending,2,1,7672
ascending,3,1,7672
ascending,4,1,7672
ascending,5,1,7672
ascending,6,1,7672
ascending,7,2,7672
ascending,8,1,7672
ascending,9,2,7672
ascending,10,1,7672
descending,1,22,7672
descending,2,20,7672
descending,3,19,7672
descending,4,20,7672
descending,5,18,7672
descending,6,21,7672
descending,7,20,7672
descending,8,19,7672
descending,9,20,7672
descending,10,19,7672
partial,1,2015664,7672
partial,2,1790707,7672
partial,3,2025484,7672
partial,4,1770695,7672
partial,5,2427880,7672
partial,6,2296776,7672
partial,7,1707440,7672
partial,8,2335410,7672
partial,9,2297644,7672
partial,10,2511660,7672
random,1,3174708,7672
random,2,3996109,7672
random,3,2775163,7672
random,4,3764469,7672
random,5,3783936,7672
random,6,2756426,7672
random,7,3962645,7672
random,8,3817216,7672
random,9,3223389,7672
random,10,3901575,7672
