ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2044
ascending,2,0,2044
ascending,3,0,2044
ascending,4,0,2044
ascending,5,0,2044
ascending,6,0,2044
ascending,7,0,2044
ascending,8,0,2044
ascending,9,0,2044
ascending,10,0,2044
descending,1,0,2044
descending,2,0,2044
descending,3,0,2044
descending,4,0,2044
descending,5,0,2044
descending,6,0,2044
descending,7,0,2044
descending,8,0,2044
descending,9,0,2044
descending,10,0,2044
partial,1,0,2044
partial,2,0,2044
partial,3,0,2044
partial,4,0,2044
partial,5,0,2044
partial,6,0,2044
partial,7,0,2044
partial,8,0,2044
partial,9,0,2044
partial,10,0,2044
random,1,0,2044
random,2,0,2044
random,3,0,2044
random,4,0,2044
random,5,0,2044
random,6,0,2044
random,7,0,2044
random,8,0,2044
random,9,0,2044
random,10,0,2044
