ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,313,42920
ascending,2,318,42924
ascending,3,314,42924
ascending,4,301,42924
ascending,5,315,42924
ascending,6,312,42924
ascending,7,295,42924
ascending,8,297,42924
ascending,9,311,42924
ascending,10,323,42924
descending,1,371,42964
descending,2,344,42964
descending,3,341,42964
descending,4,346,42964
descending,5,349,42964
descending,6,367,42964
descending,7,340,42964
descending,8,341,42964
descending,9,356,42964
descending,10,346,42964
partial,1,1461,42964
partial,2,1416,42964
partial,3,1344,42964
partial,4,1343,42964
partial,5,1371,42964
partial,6,1390,42964
partial,7,1352,42964
partial,8,1474,42964
partial,9,1449,42964
partial,10,1433,42964
random,1,1648,42964
random,2,1583,42964
random,3,1566,42964
random,4,1605,42964
random,5,1604,42964
random,6,1656,42964
random,7,1625,42964
random,8,1602,42964
random,9,1614,42964
random,10,1598,42964
