ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,162,2048
ascending,2,161,2048
ascending,3,165,2048
ascending,4,168,2048
ascending,5,163,2048
ascending,6,162,2048
ascending,7,165,2048
ascending,8,164,2048
ascending,9,167,2048
ascending,10,164,2048
descending,1,268,2048
descending,2,263,2048
descending,3,256,2048
descending,4,253,2048
descending,5,260,2048
descending,6,263,2048
descending,7,264,2048
descending,8,256,2048
descending,9,260,2048
descending,10,260,2048
partial,1,172,2048
partial,2,161,2048
partial,3,163,2048
partial,4,163,2048
partial,5,162,2048
partial,6,162,2048
partial,7,161,2048
partial,8,163,2048
partial,9,162,2048
partial,10,161,2048
random,1,163,2048
random,2,163,2048
random,3,162,2048
random,4,171,2048
random,5,164,2048
random,6,166,2048
random,7,161,2048
random,8,162,2048
random,9,162,2048
random,10,161,2048
