ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,95,7496
ascending,2,122,7672
ascending,3,147,7672
ascending,4,131,7672
ascending,5,118,7672
ascending,6,149,7672
ascending,7,126,7672
ascending,8,98,7672
ascending,9,95,7672
ascending,10,98,7672
descending,1,126,7672
descending,2,122,7672
descending,3,137,7672
descending,4,127,7672
descending,5,127,7672
descending,6,125,7672
descending,7,123,7672
descending,8,124,7672
descending,9,125,7672
descending,10,127,7672
partial,1,270,7672
partial,2,285,7672
partial,3,262,7672
partial,4,261,7672
partial,5,259,7672
partial,6,266,7672
partial,7,258,7672
partial,8,256,7672
partial,9,259,7672
partial,10,263,7672
random,1,265,7672
random,2,269,7672
random,3,269,7672
random,4,280,7672
random,5,265,7672
random,6,268,7672
random,7,261,7672
random,8,264,7672
random,9,267,7672
random,10,276,7672
