ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1,2072
ascending,2,1,2072
ascending,3,1,2072
ascending,4,1,2072
ascending,5,1,2072
ascending,6,1,2072
ascending,7,1,2072
ascending,8,1,2072
ascending,9,1,2072
ascending,10,1,2072
descending,1,1,2072
descending,2,1,2072
descending,3,1,2072
descending,4,1,2072
descending,5,1,2072
descending,6,1,2072
descending,7,2,2072
descending,8,2,2072
descending,9,1,2072
descending,10,1,2072
partial,1,4,2072
partial,2,4,2072
partial,3,3,2072
partial,4,4,2072
partial,5,4,2072
partial,6,4,2072
partial,7,4,2072
partial,8,4,2072
partial,9,4,2072
partial,10,6,2072
random,1,4,2072
random,2,6,2072
random,3,5,2072
random,4,4,2072
random,5,5,2072
random,6,5,2072
random,7,4,2072
random,8,4,2072
random,9,6,2072
random,10,5,2072
