ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,171,2020
ascending,2,175,2020
ascending,3,167,2020
ascending,4,180,2020
ascending,5,179,2020
ascending,6,169,2020
ascending,7,175,2020
ascending,8,169,2020
ascending,9,174,2020
ascending,10,178,2020
descending,1,281,2020
descending,2,265,2020
descending,3,259,2020
descending,4,281,2020
descending,5,268,2020
descending,6,264,2020
descending,7,266,2020
descending,8,260,2020
descending,9,279,2020
descending,10,282,2020
partial,1,178,2020
partial,2,170,2020
partial,3,168,2020
partial,4,168,2020
partial,5,166,2020
partial,6,166,2020
partial,7,164,2020
partial,8,171,2020
partial,9,174,2020
partial,10,169,2020
random,1,176,2020
random,2,189,2020
random,3,169,2020
random,4,178,2020
random,5,172,2020
random,6,175,2020
random,7,170,2020
random,8,168,2020
random,9,169,2020
random,10,199,2020
