ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,17641,4300
ascending,2,18434,4284
ascending,3,17621,4284
ascending,4,17918,4284
ascending,5,17666,4284
ascending,6,17485,4284
ascending,7,17673,4284
ascending,8,17555,4284
ascending,9,18205,4284
ascending,10,17248,4284
descending,1,28657,4284
descending,2,28779,4284
descending,3,28585,4284
descending,4,27869,4284
descending,5,27708,4284
descending,6,28375,4284
descending,7,28545,4284
descending,8,29530,4284
descending,9,29126,4284
descending,10,28962,4284
partial,1,17233,4284
partial,2,17078,4284
partial,3,17569,4284
partial,4,17130,4284
partial,5,17113,4284
partial,6,16980,4284
partial,7,16995,4284
partial,8,17096,4284
partial,9,17024,4284
partial,10,17352,4284
random,1,17808,4284
random,2,17715,4284
random,3,17449,4284
random,4,17504,4284
random,5,17527,4284
random,6,17287,4284
random,7,17538,4284
random,8,17099,4284
random,9,17623,4284
random,10,17592,4284
