ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,4044
ascending,2,0,4044
ascending,3,0,4044
ascending,4,0,4044
ascending,5,0,4044
ascending,6,0,4044
ascending,7,0,4044
ascending,8,0,4044
ascending,9,0,4044
ascending,10,0,4044
descending,1,0,4044
descending,2,0,4044
descending,3,0,4044
descending,4,0,4044
descending,5,0,4044
descending,6,0,4044
descending,7,0,4044
descending,8,0,4044
descending,9,0,4044
descending,10,0,4044
partial,1,0,4044
partial,2,0,4044
partial,3,0,4044
partial,4,0,4044
partial,5,0,4044
partial,6,0,4044
partial,7,0,4044
partial,8,0,4044
partial,9,0,4044
partial,10,0,4044
random,1,1,4044
random,2,1,4044
random,3,1,4044
random,4,1,4044
random,5,1,4044
random,6,1,4044
random,7,1,4044
random,8,1,4044
random,9,1,4044
random,10,1,4044
