ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1,3764
ascending,2,1,3764
ascending,3,1,3764
ascending,4,1,3764
ascending,5,1,3764
ascending,6,1,3764
ascending,7,1,3764
ascending,8,0,3764
ascending,9,1,3764
ascending,10,1,3764
descending,1,1,3764
descending,2,0,3764
descending,3,1,3764
descending,4,1,3764
descending,5,1,3764
descending,6,1,3764
descending,7,1,3764
descending,8,1,3764
descending,9,1,3764
descending,10,0,3764
partial,1,0,3764
partial,2,0,3764
partial,3,0,3764
partial,4,0,3764
partial,5,0,3764
partial,6,0,3764
partial,7,0,3764
partial,8,0,3764
partial,9,0,3764
partial,10,0,3764
random,1,0,3764
random,2,0,3764
random,3,0,3764
random,4,0,3764
random,5,0,3764
random,6,0,3764
random,7,0,3764
random,8,0,3764
random,9,0,3764
random,10,0,3764
