ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,28,7764
ascending,2,25,11640
ascending,3,26,11500
ascending,4,26,11500
ascending,5,24,11500
ascending,6,25,11500
ascending,7,27,11500
ascending,8,25,11500
ascending,9,24,11500
ascending,10,24,11500
descending,1,30,11536
descending,2,28,11540
descending,3,28,11540
descending,4,28,11540
descending,5,28,11540
descending,6,29,11540
descending,7,29,11540
descending,8,28,11540
descending,9,29,11540
descending,10,28,11540
partial,1,111,11540
partial,2,121,11540
partial,3,120,11540
partial,4,116,11540
partial,5,126,11540
partial,6,114,11540
partial,7,114,11540
partial,8,121,11540
partial,9,113,11544
partial,10,120,11544
random,1,136,11544
random,2,132,11544
random,3,131,11544
random,4,137,11544
random,5,135,11544
random,6,129,11544
random,7,132,11544
random,8,131,11544
random,9,131,11544
random,10,130,11544
