ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1,4092
ascending,2,1,4040
ascending,3,1,4092
ascending,4,1,4092
ascending,5,1,4092
ascending,6,1,4096
ascending,7,2,4096
ascending,8,1,4096
ascending,9,2,4096
ascending,10,1,4096
descending,1,1,4220
descending,2,1,4220
descending,3,1,4220
descending,4,1,4220
descending,5,1,4220
descending,6,1,4220
descending,7,1,4220
descending,8,1,4220
descending,9,2,4220
descending,10,1,4220
partial,1,2,4220
partial,2,2,4220
partial,3,2,4220
partial,4,2,4220
partial,5,2,4220
partial,6,2,4220
partial,7,2,4220
partial,8,2,4220
partial,9,2,4220
partial,10,2,4220
random,1,2,4220
random,2,2,4220
random,3,2,4220
random,4,2,4220
random,5,2,4220
random,6,2,4220
random,7,2,4220
random,8,2,4220
random,9,2,4220
random,10,2,4220
