ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,3984
ascending,2,0,4008
ascending,3,0,4008
ascending,4,0,4008
ascending,5,0,4008
ascending,6,0,4008
ascending,7,0,4008
ascending,8,0,4008
ascending,9,0,4008
ascending,10,0,4008
descending,1,0,4008
descending,2,0,4008
descending,3,0,4008
descending,4,0,4008
descending,5,0,4008
descending,6,0,4008
descending,7,0,4008
descending,8,0,4008
descending,9,0,4008
descending,10,0,4008
partial,1,1,4008
partial,2,1,4008
partial,3,1,4008
partial,4,0,4008
partial,5,0,4008
partial,6,1,4008
partial,7,0,4008
partial,8,1,4008
partial,9,0,4008
partial,10,0,4008
random,1,1,4008
random,2,1,4008
random,3,1,4008
random,4,1,4008
random,5,1,4008
random,6,1,4008
random,7,1,4008
random,8,1,4008
random,9,1,4008
random,10,1,4008
