ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,25,8240
ascending,2,28,7800
ascending,3,25,7800
ascending,4,24,7800
ascending,5,24,7800
ascending,6,25,7800
ascending,7,24,7800
ascending,8,24,7800
ascending,9,28,7800
ascending,10,31,7800
descending,1,32,7800
descending,2,30,7800
descending,3,33,7800
descending,4,31,7800
descending,5,32,7800
descending,6,31,7800
descending,7,29,7800
descending,8,34,7800
descending,9,32,7800
descending,10,35,7800
partial,1,130,7800
partial,2,139,7800
partial,3,144,7800
partial,4,138,7800
partial,5,135,7800
partial,6,127,7800
partial,7,126,7800
partial,8,136,7800
partial,9,133,7800
partial,10,130,7800
random,1,150,7800
random,2,144,7800
random,3,146,7800
random,4,151,7800
random,5,145,7800
random,6,146,7800
random,7,148,7800
random,8,147,7800
random,9,155,7800
random,10,145,7800
