ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2024
ascending,2,0,2024
ascending,3,0,2024
ascending,4,0,2024
ascending,5,0,2024
ascending,6,0,2024
ascending,7,0,2024
ascending,8,0,2024
ascending,9,0,2024
ascending,10,0,2024
descending,1,4,2024
descending,2,4,2024
descending,3,5,2024
descending,4,4,2024
descending,5,4,2024
descending,6,4,2024
descending,7,4,2024
descending,8,4,2024
descending,9,4,2024
descending,10,4,2024
partial,1,2,2024
partial,2,2,2024
partial,3,2,2024
partial,4,2,2024
partial,5,2,2024
partial,6,2,2024
partial,7,2,2024
partial,8,2,2024
partial,9,2,2024
partial,10,2,2024
random,1,3,2024
random,2,3,2024
random,3,3,2024
random,4,4,2024
random,5,3,2024
random,6,3,2024
random,7,3,2024
random,8,3,2024
random,9,3,2024
random,10,3,2024
