ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,233,8096
ascending,2,245,7660
ascending,3,236,7660
ascending,4,243,7660
ascending,5,235,7660
ascending,6,242,7660
ascending,7,235,7660
ascending,8,248,7660
ascending,9,231,7660
ascending,10,227,7660
descending,1,229,7660
descending,2,223,7660
descending,3,221,7660
descending,4,226,7660
descending,5,223,7660
descending,6,228,7660
descending,7,236,7660
descending,8,225,7660
descending,9,224,7660
descending,10,225,7660
partial,1,293,7660
partial,2,301,7660
partial,3,326,7660
partial,4,294,7660
partial,5,301,7660
partial,6,306,7660
partial,7,311,7660
partial,8,313,7660
partial,9,283,7660
partial,10,291,7660
random,1,320,7660
random,2,307,7660
random,3,318,7660
random,4,332,7660
random,5,312,7660
random,6,318,7660
random,7,317,7660
random,8,320,7660
random,9,310,7660
random,10,324,7660
