ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,8,4436
ascending,2,7,4568
ascending,3,7,4620
ascending,4,7,4620
ascending,5,8,4620
ascending,6,7,4620
ascending,7,7,4620
ascending,8,7,4620
ascending,9,7,4620
ascending,10,7,4620
descending,1,8,4620
descending,2,8,4620
descending,3,7,4620
descending,4,8,4620
descending,5,7,4620
descending,6,8,4620
descending,7,8,4620
descending,8,7,4620
descending,9,11,4620
descending,10,8,4620
partial,1,12,4620
partial,2,12,4620
partial,3,12,4620
partial,4,12,4620
partial,5,12,4620
partial,6,12,4620
partial,7,11,4620
partial,8,10,4620
partial,9,11,4620
partial,10,11,4620
random,1,18,4620
random,2,16,4620
random,3,16,4620
random,4,15,4620
random,5,16,4620
random,6,17,4620
random,7,16,4620
random,8,16,4620
random,9,16,4620
random,10,15,4620
