ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,4328
ascending,2,0,4312
ascending,3,0,4312
ascending,4,0,4312
ascending,5,0,4312
ascending,6,0,4312
ascending,7,0,4312
ascending,8,0,4312
ascending,9,0,4312
ascending,10,0,4312
descending,1,43278,4312
descending,2,43410,4312
descending,3,43470,4312
descending,4,43578,4312
descending,5,43722,4312
descending,6,43658,4312
descending,7,43716,4312
descending,8,43691,4312
descending,9,43784,4312
descending,10,43564,4312
partial,1,24352,4312
partial,2,30131,4312
partial,3,27036,4312
partial,4,24295,4312
partial,5,29091,4312
partial,6,26699,4312
partial,7,28569,4312
partial,8,25555,4312
partial,9,29764,4312
partial,10,28747,4312
random,1,37097,4312
random,2,37074,4312
random,3,36795,4312
random,4,36970,4312
random,5,36925,4312
random,6,37106,4312
random,7,36979,4312
random,8,36959,4312
random,9,36904,4312
random,10,37086,4312
