ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1,2020
ascending,2,1,2020
ascending,3,1,2020
ascending,4,1,2020
ascending,5,1,2020
ascending,6,1,2020
ascending,7,1,2020
ascending,8,2,2020
ascending,9,1,2020
ascending,10,2,2020
descending,1,2,2020
descending,2,2,2020
descending,3,2,2020
descending,4,2,2020
descending,5,2,2020
descending,6,2,2020
descending,7,2,2020
descending,8,2,2020
descending,9,2,2020
descending,10,2,2020
partial,1,1,2020
partial,2,1,2020
partial,3,1,2020
partial,4,1,2020
partial,5,1,2020
partial,6,1,2020
partial,7,1,2020
partial,8,1,2020
partial,9,1,2020
partial,10,1,2020
random,1,1,2020
random,2,1,2020
random,3,1,2020
random,4,1,2020
random,5,1,2020
random,6,1,2020
random,7,1,2020
random,8,1,2020
random,9,1,2020
random,10,1,2020
