ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,4312
ascending,2,0,4288
ascending,3,0,4288
ascending,4,0,4288
ascending,5,0,4288
ascending,6,0,4288
ascending,7,0,4288
ascending,8,0,4288
ascending,9,0,4288
ascending,10,0,4288
descending,1,14021,4288
descending,2,14183,4288
descending,3,14146,4288
descending,4,14296,4288
descending,5,14705,4288
descending,6,14693,4288
descending,7,15811,4288
descending,8,14989,4288
descending,9,15159,4288
descending,10,14982,4288
partial,1,5842,4288
partial,2,4689,4288
partial,3,4845,4288
partial,4,5827,4288
partial,5,5890,4288
partial,6,5392,4288
partial,7,5164,4288
partial,8,4979,4288
partial,9,5676,4288
partial,10,5616,4288
random,1,7043,4288
random,2,7146,4288
random,3,7088,4288
random,4,7085,4288
random,5,7056,4288
random,6,7136,4288
random,7,7115,4288
random,8,7140,4288
random,9,7270,4288
random,10,7259,4288
