ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,3,7584
ascending,2,2,7768
ascending,3,4,7768
ascending,4,3,7768
ascending,5,3,7768
ascending,6,2,7768
ascending,7,3,7768
ascending,8,3,7768
ascending,9,3,7768
ascending,10,3,7768
descending,1,1464332,7768
descending,2,1518425,7768
descending,3,1399802,7768
descending,4,1387031,7768
descending,5,1387725,7768
descending,6,1388600,7768
descending,7,1387287,7768
descending,8,1388937,7768
descending,9,1389014,7768
descending,10,1389587,7768
partial,1,470180,7768
partial,2,465683,7768
partial,3,521077,7768
partial,4,476014,7768
partial,5,550485,7768
partial,6,520162,7768
partial,7,547605,7768
partial,8,521398,7768
partial,9,507081,7768
partial,10,573554,7768
random,1,695586,7768
random,2,694792,7768
random,3,695616,7768
random,4,695362,7768
random,5,696216,7768
random,6,695924,7768
random,7,695038,7768
random,8,694411,7768
random,9,696889,7768
random,10,695674,7768
