ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,3,4136
ascending,2,3,4120
ascending,3,3,4120
ascending,4,3,4120
ascending,5,3,4120
ascending,6,3,4120
ascending,7,3,4120
ascending,8,3,4120
ascending,9,3,4120
ascending,10,3,4120
descending,1,9159,4120
descending,2,9160,4120
descending,3,9446,4120
descending,4,9405,4120
descending,5,9443,4120
descending,6,9460,4120
descending,7,9428,4120
descending,8,9501,4120
descending,9,9441,4120
descending,10,9647,4120
partial,1,3895,4120
partial,2,3256,4120
partial,3,3805,4120
partial,4,3829,4120
partial,5,3056,4120
partial,6,3103,4120
partial,7,3863,4120
partial,8,3951,4120
partial,9,3648,4120
partial,10,3158,4120
random,1,4763,4120
random,2,4744,4120
random,3,4646,4120
random,4,4677,4120
random,5,4648,4120
random,6,4739,4120
random,7,4685,4120
random,8,4591,4120
random,9,4622,4120
random,10,4597,4120
