ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,21,4232
ascending,2,20,4204
ascending,3,19,4204
ascending,4,20,4204
ascending,5,21,4204
ascending,6,21,4204
ascending,7,24,4204
ascending,8,22,4204
ascending,9,22,4204
ascending,10,20,4204
descending,1,21,4204
descending,2,20,4204
descending,3,18,4204
descending,4,19,4204
descending,5,19,4204
descending,6,18,4204
descending,7,19,4204
descending,8,20,4204
descending,9,19,4204
descending,10,19,4204
partial,1,24,4204
partial,2,27,4204
partial,3,23,4204
partial,4,23,4204
partial,5,24,4204
partial,6,23,4204
partial,7,25,4204
partial,8,27,4204
partial,9,25,4204
partial,10,22,4204
random,1,25,4204
random,2,26,4204
random,3,25,4204
random,4,25,4204
random,5,25,4204
random,6,26,4204
random,7,25,4204
random,8,23,4204
random,9,25,4204
random,10,26,4204
