ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,2,4380
ascending,2,2,4512
ascending,3,2,4564
ascending,4,2,4564
ascending,5,2,4564
ascending,6,2,4564
ascending,7,3,4564
ascending,8,2,4564
ascending,9,2,4564
ascending,10,2,4564
descending,1,3,4564
descending,2,3,4564
descending,3,2,4564
descending,4,2,4564
descending,5,3,4564
descending,6,2,4564
descending,7,2,4564
descending,8,3,4564
descending,9,3,4564
descending,10,2,4564
partial,1,12,4564
partial,2,11,4564
partial,3,11,4564
partial,4,12,4564
partial,5,13,4564
partial,6,12,4564
partial,7,13,4564
partial,8,11,4564
partial,9,11,4564
partial,10,11,4564
random,1,13,4564
random,2,13,4564
random,3,13,4564
random,4,15,4564
random,5,13,4564
random,6,13,4564
random,7,12,4564
random,8,12,4564
random,9,14,4564
random,10,14,4564
