ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2040
ascending,2,0,2040
ascending,3,0,2040
ascending,4,0,2040
ascending,5,0,2040
ascending,6,0,2040
ascending,7,0,2040
ascending,8,0,2040
ascending,9,0,2040
ascending,10,0,2040
descending,1,143,2040
descending,2,138,2040
descending,3,144,2040
descending,4,150,2040
descending,5,141,2040
descending,6,141,2040
descending,7,151,2040
descending,8,140,2040
descending,9,139,2040
descending,10,140,2040
partial,1,56,2040
partial,2,55,2040
partial,3,55,2040
partial,4,56,2040
partial,5,51,2040
partial,6,45,2040
partial,7,55,2040
partial,8,49,2040
partial,9,66,2040
partial,10,49,2040
random,1,70,2040
random,2,74,2040
random,3,68,2040
random,4,68,2040
random,5,66,2040
random,6,69,2040
random,7,66,2040
random,8,67,2040
random,9,86,2040
random,10,67,2040
