ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,2056
ascending,2,0,2056
ascending,3,0,2056
ascending,4,0,2056
ascending,5,0,2056
ascending,6,0,2056
ascending,7,0,2056
ascending,8,0,2056
ascending,9,0,2056
ascending,10,0,2056
descending,1,0,2056
descending,2,0,2056
descending,3,0,2056
descending,4,0,2056
descending,5,0,2056
descending,6,0,2056
descending,7,0,2056
descending,8,0,2056
descending,9,0,2056
descending,10,0,2056
partial,1,1,2056
partial,2,2,2056
partial,3,2,2056
partial,4,2,2056
partial,5,2,2056
partial,6,2,2056
partial,7,2,2056
partial,8,1,2056
partial,9,2,2056
partial,10,2,2056
random,1,3,2056
random,2,3,2056
random,3,2,2056
random,4,2,2056
random,5,2,2056
random,6,3,2056
random,7,2,2056
random,8,3,2056
random,9,2,2056
random,10,2,2056
