ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,0,4400
ascending,2,0,4532
ascending,3,0,4624
ascending,4,0,4624
ascending,5,0,4624
ascending,6,0,4624
ascending,7,0,4624
ascending,8,0,4624
ascending,9,0,4624
ascending,10,0,4624
descending,1,1,4624
descending,2,1,4624
descending,3,1,4624
descending,4,1,4624
descending,5,1,4624
descending,6,1,4624
descending,7,1,4624
descending,8,1,4624
descending,9,1,4624
descending,10,1,4624
partial,1,11,4624
partial,2,12,4624
partial,3,12,4624
partial,4,12,4624
partial,5,14,4624
partial,6,13,4624
partial,7,12,4624
partial,8,14,4624
partial,9,12,4624
partial,10,12,4624
random,1,22,4624
random,2,22,4624
random,3,22,4624
random,4,22,4624
random,5,22,4624
random,6,25,4624
random,7,23,4624
random,8,22,4624
random,9,23,4624
random,10,23,4624
