ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,22,4908
ascending,2,18,6236
ascending,3,18,6384
ascending,4,19,6384
ascending,5,19,6384
ascending,6,20,4916
ascending,7,20,6232
ascending,8,20,6384
ascending,9,19,6384
ascending,10,19,4916
descending,1,19,6348
descending,2,19,6508
descending,3,18,6508
descending,4,18,6508
descending,5,17,6508
descending,6,20,6508
descending,7,18,6508
descending,8,17,6508
descending,9,17,6508
descending,10,18,6508
partial,1,27,6508
partial,2,25,6508
partial,3,24,6508
partial,4,23,6508
partial,5,23,6508
partial,6,27,6508
partial,7,25,6508
partial,8,24,6508
partial,9,25,6508
partial,10,24,6508
random,1,30,6508
random,2,28,6508
random,3,27,6508
random,4,28,6508
random,5,28,6508
random,6,29,6508
random,7,28,6508
random,8,28,6508
random,9,27,6508
random,10,28,6508
