ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,7990,4156
ascending,2,8112,7660
ascending,3,8270,7660
ascending,4,8293,7660
ascending,5,8229,7660
ascending,6,8104,7660
ascending,7,8051,7660
ascending,8,8042,7660
ascending,9,8006,7660
ascending,10,8023,7660
descending,1,8307,7660
descending,2,7853,7660
descending,3,7841,7660
descending,4,7911,7660
descending,5,7957,7660
descending,6,7873,7660
descending,7,7920,7660
descending,8,8057,7660
descending,9,8120,7660
descending,10,7959,7660
partial,1,2439,7660
partial,2,4020,7660
partial,3,2651,7660
partial,4,3520,7660
partial,5,3665,7660
partial,6,3183,7660
partial,7,3668,7660
partial,8,3086,7660
partial,9,2950,7660
partial,10,1967,7660
random,1,86,7660
random,2,67,7660
random,3,65,7660
random,4,65,7660
random,5,73,7660
random,6,71,7660
random,7,68,7660
random,8,64,7660
random,9,75,7660
random,10,53,7660
