ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,2,7620
ascending,2,1,7740
ascending,3,2,7740
ascending,4,1,7740
ascending,5,1,7740
ascending,6,1,7740
ascending,7,1,7740
ascending,8,1,7740
ascending,9,1,7740
ascending,10,2,7740
descending,1,4540989,7740
descending,2,4524357,7740
descending,3,4539798,7740
descending,4,4517309,7740
descending,5,4554957,7740
descending,6,4388454,7740
descending,7,4407984,7740
descending,8,4385979,7740
descending,9,4385555,7740
descending,10,4403305,7740
partial,1,2895553,7740
partial,2,2769041,7740
partial,3,2477713,7740
partial,4,3058828,7740
partial,5,4008271,7740
partial,6,2852271,7740
partial,7,2805496,7740
partial,8,2755430,7740
partial,9,4182139,7740
partial,10,2731438,7740
random,1,4420175,7740
random,2,3856476,7740
random,3,3879685,7740
random,4,8456207,7740
random,5,3903642,7740
random,6,3943552,7740
random,7,4060555,7740
random,8,4012340,7740
random,9,3835867,7740
random,10,3776503,7740
