ListType,Iteration,Duration(ms),Memory(KB)
ascending,1,1791360,8176
ascending,2,1786529,7808
ascending,3,1798541,7808
ascending,4,1762521,7808
ascending,5,1824489,7808
ascending,6,1809812,7808
ascending,7,1834865,7808
ascending,8,1797419,7808
ascending,9,1822303,7808
ascending,10,1820772,7808
descending,1,2965655,7808
descending,2,2970289,7808
descending,3,3011923,7808
descending,4,3002421,7808
descending,5,2946319,7808
descending,6,3046319,7808
descending,7,3106319,7808
descending,8,3000103,7808
descending,9,3016514,7808
descending,10,2964357,7808
partial,1,1772478,7808
partial,2,1727137,7808
partial,3,1730493,7808
partial,4,1752114,7808
partial,5,1839271,7808
partial,6,1808544,7808
partial,7,1796563,7808
partial,8,1780960,7808
partial,9,1800243,7808
partial,10,1795290,7808
random,1,1779419,7808
random,2,1771313,7808
random,3,1743880,7808
random,4,1809202,7808
random,5,1705278,7808
random,6,1724875,7808
random,7,1756389,7808
random,8,1709943,7808
random,9,1782301,7808
random,10,179278,7808
